<Apps_for_Android> games:3081.15 play:2158.37 graphics:1505.51 kindle:1470.82 addictive:1311.91 challenging:1038.13 coins:1002.66 addicting:990.84 fire:956.15 levels:825.38 playing:692.93 ads:642.40 puzzles:596.77 apps:548.78 free:500.99 bingo:409.24 mahjong:322.01 download:303.86 faotd:288.86 facebook:282.52 downloaded:262.77 hints:242.61 solitaire:211.64 android:211.58 puzzle:198.86 gameplay:198.51 freezes:189.68 unlock:185.75 played:180.40 deleted:179.22 bought:174.46 flappy:173.31 upgrades:169.00 awesome:155.21 tablet:155.14 price:149.60 calculator:148.96 developer:148.38 quality:144.19 permissions:137.37 author:135.34 earn:134.75 bored:131.23 uninstall:127.29 sudoku:127.00 fit:126.10 years:124.36 reading:121.65 made:120.91 characters:118.10 gameloft:115.53 series:115.06 written:114.84 addicted:109.65 crashes:107.31 brain:106.93 multiplayer:102.51 challenge:102.19 sims:100.45 uninstalling:100.32 tetris:99.24 back:99.12 glitches:99.03 end:95.25 waster:94.23 crashing:93.69 downloading:93.54 size:93.34 put:91.54 logos:88.27 minecraft:88.27 apos:86.65 devs:86.65 freecell:86.65 glu:86.65
<Health_and_Personal_Care> shaver:1271.11 razor:1130.64 shaving:1099.10 pills:1020.40 protein:842.89 supplements:791.19 vitamin:758.61 pill:674.82 vitamins:652.36 capsules:626.20 supplement:579.51 trimmer:531.39 deodorant:503.37 taking:484.15 stomach:425.10 toothbrush:417.08 gillette:408.56 norelco:407.04 sonicare:407.04 razors:374.82 garcinia:356.15 bottle:352.60 smell:330.90 appetite:315.78 powder:309.89 brace:306.08 muscle:294.03 shaves:288.39 ketones:279.82 dentist:273.92 energy:261.87 dosage:258.25 sinus:258.25 cambogia:254.38 oil:240.24 products:238.13 tastes:237.97 sore:236.76 beard:230.13 mg:230.13 shavers:229.44 creatine:228.94 pain:228.68 braun:227.40 hairs:222.33 teeth:218.16 relief:213.72 jittery:208.49 whey:208.49 calcium:205.97 irritation:204.13 doctor:198.18 scent:197.87 results:197.32 diet:196.25 brush:193.32 stains:189.10 oral:187.75 rash:186.72 blades:184.00 stubble:179.12 odor:177.23 cravings:176.12 swelling:176.04 oils:175.95 weeks:171.95 swallow:164.95 lather:162.57 batteries:162.34 massage:160.94 clean:160.60 smells:160.08 vibrator:159.62 scale:159.41 weight:159.18
<Home_and_Kitche> vacuum:1262.16 oven:1200.29 clean:1112.10 dishwasher:1108.67 lid:1107.87 pan:1024.57 pot:890.01 maker:814.37 pans:804.21 cup:769.77 mattress:724.44 water:648.90 toaster:634.18 cups:632.10 sheets:628.04 comforter:594.39 pillow:577.83 microwave:563.27 mug:560.79 counter:545.25 cook:542.36 cooking:540.12 machine:528.76 cooker:521.02 cookware:499.97 cuisinart:472.17 poster:470.23 bed:468.07 brew:445.97 filter:429.61 stainless:420.07 brewing:406.16 cooks:404.26 pots:397.35 grinder:394.80 bowl:392.93 bread:390.25 juicer:384.81 steam:384.67 glass:384.49 heats:373.91 kettle:369.08 stove:366.15 heat:357.00 rack:356.84 espresso:355.54 lids:343.64 heating:343.00 grind:340.40 cleaning:331.77 steamer:331.11 pitcher:325.50 blender:315.51 carafe:315.20 dyson:315.10 knives:314.87 baking:312.38 filters:303.74 coffeemaker:299.77 mugs:299.77 drip:297.11 pillows:295.36 heater:290.28 carpet:289.31 suction:284.63 thermometer:277.85 temperature:275.70 pour:273.00 bowls:272.63 handle:271.79 timer:269.10 bottom:268.15 curtain:268.15 dough:266.30 room:263.13
<Kindle_Store> author:1079.28 characters:960.11 series:661.51 reading:621.11 romance:508.26 enjoyed:469.58 kindle:456.85 short:453.83 stories:433.29 novella:370.06 written:330.98 wait:296.36 ebook:273.77 plot:244.30 forward:239.53 character:225.64 loved:209.84 writing:195.89 sex:194.81 steamy:177.49 errors:169.65 bought:164.28 erotic:162.88 quality:156.62 ending:150.79 relationship:150.69 price:143.10 interesting:126.36 sexy:126.14 developed:123.69 reader:119.94 fit:117.76 alpha:115.75 wanting:115.17 heroine:114.10 believable:112.85 finds:111.36 sweet:109.61 mystery:109.57 erotica:105.85 honest:105.18 woman:104.76 works:103.98 fiction:100.25 buy:98.72 tale:96.76 authors:96.04 size:94.63 end:94.00 felt:93.31 music:93.21 twist:87.43 chemistry:84.96 paranormal:83.70 storyline:83.63 hea:82.32 shifter:81.98 feelings:80.75 cliffhanger:78.64 scenes:78.14 ms:77.07 editing:76.95 reads:76.70 suspense:75.84 ordered:74.96 adventure:74.62 intriguing:74.26 devlin:73.92 nage:73.92 paced:73.61 intrigue:71.66 sound:71.54 berserker:70.79 powerfast:70.79 entertaining:70.79
<Movies_and_TV> dvd:8746.74 acting:5158.80 movies:5030.70 watch:4310.17 films:3688.72 actors:3618.85 watching:3526.82 watched:3021.99 episodes:2346.68 season:2187.32 cast:1840.89 show:1713.36 director:1680.73 episode:1638.63 actor:1612.93 comedy:1523.09 scenes:1380.54 seasons:1321.48 flick:1192.95 script:1155.74 vhs:1086.59 scene:1073.84 video:1041.33 funny:911.71 performances:893.12 dvds:864.45 documentary:862.06 extras:855.05 blu:845.69 subtitles:837.95 role:825.34 viewer:786.47 viewers:767.74 effects:746.29 cinematography:674.62 ray:660.90 classic:654.08 animation:645.03 footage:640.09 actress:622.56 filmed:616.93 special:612.05 horror:604.83 action:594.52 cinema:551.93 hollywood:545.22 tv:544.33 production:522.94 roles:511.74 aired:492.89 remake:481.57 nudity:461.79 viewing:421.85 cgi:421.69 animated:420.08 shows:416.78 theatrical:414.51 anime:405.92 television:399.21 performance:384.23 plot:383.20 acted:377.21 rent:375.51 disc:373.71 series:367.86 screenplay:367.66 released:367.03 hilarious:364.70 laughs:361.78 rented:361.67 directed:359.17 played:354.05 casting:353.47 entertainment:350.93 disney:347.04
<Musical_Instrument> pedal:963.47 addario:783.34 behringer:783.34 tuners:765.22 mic:734.65 tuning:683.22 truss:651.13 drum:583.36 metronome:556.69 rosin:556.69 fender:548.28 epiphone:499.74 sound:491.96 pickups:485.86 reeds:485.86 numark:469.99 pickguard:469.99 xlr:469.99 instrument:469.02 yamaha:446.94 pedals:445.73 dunlop:415.12 frets:415.12 string:404.70 capo:386.71 intonation:386.71 violin:377.32 preamp:351.00 gigs:324.10 gig:321.27 guitars:320.87 snare:320.61 akai:313.32 amplitube:313.32 emg:313.32 footswitch:313.32 ibanez:313.32 irig:313.32 lavalier:313.32 maschine:313.32 mxr:313.32 rocksmith:313.32 swampy:313.32 wuhan:313.32 tuner:311.82 amp:294.66 microphone:283.80 midi:279.61 trs:279.61 wav:279.61 mics:274.11 clarinet:273.40 cymbal:245.91 technica:245.91 banjo:223.42 distortion:220.88 bass:219.21 mixer:209.96 cabs:207.55 condenser:207.55 deoxit:207.55 dulcimer:207.55 epi:207.55 fretboard:207.55 ocarina:207.55 protools:207.55 rehearsing:207.55 turntables:207.55 piano:202.61 acoustic:201.70 cymbals:173.40 hercules:172.53 seismic:172.53 ukulele:172.53 microphones:162.59
<Office_Product> cartridges:5038.57 cartridge:3535.41 printing:2818.17 printers:2162.83 epson:1903.79 scanner:1721.20 print:1677.50 pen:1122.99 toner:1069.92 paper:1012.46 pens:926.14 prints:922.50 hp:883.29 fax:856.74 scan:787.14 scanning:747.05 inks:673.61 stapler:673.61 shredder:614.54 handset:600.40 lexmark:561.83 copier:503.85 desk:494.88 pencil:471.17 remanufactured:456.42 pencils:453.43 staples:453.38 labels:452.24 laser:427.77 office:421.20 inkjet:383.46 receipts:382.73 pixma:374.54 scans:367.89 calculator:346.49 stapling:336.77 answering:334.96 dymo:312.11 mfc:312.11 swingline:312.11 handsets:301.70 landline:301.70 envelopes:286.92 ooma:277.92 canon:275.30 binders:273.02 eraser:258.95 borderless:249.69 deskjet:249.69 staplers:249.69 printed:242.29 avery:238.10 papers:229.65 refill:224.94 sharpeners:220.09 nib:219.96 folders:207.59 wireless:205.96 scanned:201.14 uniden:198.89 fellowes:198.15 cis:187.26 pentel:187.26 printhead:187.26 artisan:181.33 dpi:181.33 intercom:181.33 speakerphone:181.33 binder:175.51 erase:169.81 sheets:167.69 mousepad:166.48 erasers:163.81 refills:162.21 software:158.03
<Patio_Lawn_and_Garde> plants:1375.25 lawn:1202.32 seeds:1025.23 yard:970.65 garden:863.09 seed:816.19 feeder:787.37 plant:707.47 gas:678.56 grass:622.29 smoker:601.84 pool:598.85 watering:555.75 traps:542.71 mow:524.15 soil:518.13 blower:517.10 germinated:469.86 bbq:449.29 hose:433.25 hummingbirds:412.37 weber:411.12 sprinkler:401.03 sprinklers:391.55 patio:390.65 weeds:389.25 planted:365.90 burners:362.57 acre:351.20 trap:329.88 feeders:326.74 bait:313.32 squirrels:313.32 bilt:313.24 landscaper:313.24 pruner:313.24 grills:307.39 sprouted:305.33 hammock:291.91 weed:289.09 fertilizer:276.83 roaches:276.83 bugs:273.07 mice:253.65 germination:248.99 mulch:248.99 grilling:242.40 geraniums:234.92 husqvarna:234.92 hydroponics:234.92 intex:234.92 poulan:234.92 soils:234.92 suet:234.92 sprout:232.05 bushes:228.99 driveway:214.55 coals:213.12 squirrel:210.47 sprayer:207.64 trimmer:204.64 leaf:203.26 birds:202.31 bird:192.80 hummingbird:190.82 sunflower:190.82 ants:182.90 planting:180.83 mowed:175.59 mowers:175.59 potted:175.59 tiller:175.59 edger:174.70 flowering:174.70 compost:157.38
<Pet_Supplie> cat:4345.41 cats:4115.15 pet:1773.56 litter:1731.78 puppy:1643.54 vet:1565.73 collar:1419.62 leash:1412.09 treats:1260.51 chew:1049.57 lab:943.14 fleas:890.22 food:792.01 chewed:670.79 terrier:618.63 barking:582.95 tank:506.90 chewer:502.68 crate:501.66 retriever:478.78 kitten:473.27 paw:472.20 aquarium:450.55 bulldog:443.16 chihuahua:443.16 poodle:443.16 petsmart:439.84 spaniel:439.84 collars:430.72 toys:421.07 pup:412.47 lb:412.32 doggy:386.02 catnip:383.12 kibble:377.00 petco:377.00 chewing:345.66 fountain:345.66 puppies:344.42 kitty:334.24 bowl:332.14 cage:331.31 kennel:329.83 flea:327.72 leashes:321.44 chews:319.25 urine:319.25 corgi:314.17 litterbox:314.17 coat:311.28 harness:309.06 pom:303.24 husky:291.01 shepherd:287.38 gallon:285.15 poop:279.93 clumping:279.77 loves:279.16 feeder:278.96 kitties:274.85 yorkie:274.85 kong:264.14 frisbee:260.14 pomeranian:260.14 pound:259.00 kittens:258.52 bichon:251.33 furminator:251.33 orijen:251.33 petsafe:251.33 rottweiler:251.33 shiba:251.33 scooping:243.43 treat:241.91 fur:232.18
<Sports_and_Outdoor> gun:648.00 pistol:614.16 rifle:549.96 bikes:529.87 holster:504.82 camping:447.81 airsoft:378.71 tires:347.90 ar:342.83 fit:340.68 tent:328.20 glock:324.81 bicycle:307.26 workout:296.00 sheath:295.11 weight:276.42 bag:275.68 mag:274.23 grip:266.64 golf:252.45 mags:247.70 rides:247.46 blade:241.85 scope:238.06 comfortable:236.31 knives:225.78 barrel:217.81 scooter:215.86 helmet:211.51 ammo:208.26 shimano:208.05 handlebars:206.55 pants:198.24 poles:195.01 fits:192.84 edc:188.84 characters:186.51 backpacking:186.35 reading:185.84 adjustment:185.14 schwinn:184.93 sturdy:184.64 gloves:184.18 ball:183.36 balls:183.29 riding:178.51 pump:175.51 carry:174.63 ride:168.90 durable:168.86 mat:168.67 size:164.48 gear:162.37 camelbak:161.81 rail:161.79 goggles:161.61 sweat:159.19 weights:156.64 rack:154.82 bearings:154.63 saddle:147.14 molle:144.77 ruger:144.77 rear:144.75 grips:143.00 series:142.60 zeroed:139.84 sks:138.70 firearm:137.09 water:137.02 tight:136.22 written:135.51 straps:135.23 lbs:132.85 dumbbells:130.17
<Tools_and_Home_Improvement> flashlight:1538.55 bulb:1267.93 tool:1189.58 light:1018.19 flashlights:1009.93 dewalt:1000.38 faucet:899.87 drill:860.74 tools:832.86 bright:816.48 lights:773.08 fixture:656.06 batteries:547.11 thermostat:541.51 nailer:519.97 dimmer:471.09 lumen:440.52 cfl:399.34 miter:399.34 dremel:367.78 beam:358.00 lamps:357.18 blades:338.21 led:331.48 makita:329.47 sander:321.67 leatherman:319.46 blade:310.97 brighter:308.07 switch:299.62 pliers:293.91 installed:288.87 dimmable:282.20 incandescent:276.55 strobe:269.46 wall:265.76 halogen:265.08 sink:261.05 bosch:258.52 lumens:252.39 shower:249.97 monoxide:242.84 fixtures:242.16 volt:241.89 ridgid:239.59 sockets:236.71 ceiling:235.99 fluorescent:228.00 screws:216.24 dusk:214.31 maglite:207.69 garage:207.37 depot:201.95 watt:199.75 nailers:199.66 showerhead:199.66 streamlight:199.66 wrench:195.84 chandelier:191.50 installation:190.01 heater:187.59 screw:187.40 bathroom:182.19 contractor:181.19 cordless:180.58 lithium:177.60 bits:176.76 milwaukee:175.77 remodel:172.83 hose:170.03 door:165.76 screwdriver:165.02 lathe:164.72 replace:161.47 bidet:159.72
<Toys_and_Game> toys:1411.96 loves:1251.69 lego:1219.58 son:1183.03 grandson:953.67 dolls:937.56 play:847.78 birthday:826.03 kids:799.87 christmas:730.59 year:666.78 daughter:662.47 legos:578.33 puzzle:563.53 pieces:519.25 playing:449.27 rc:425.12 cards:407.73 granddaughter:368.32 cute:356.02 barbie:317.67 hasbro:305.93 gift:289.58 nephew:264.58 child:254.60 nerf:250.26 played:235.50 durable:234.59 articulation:227.64 figures:224.59 helicopters:220.05 cuddly:217.52 dice:217.47 leapfrog:214.37 mattel:203.95 niece:195.02 educational:194.96 paint:194.16 stuffed:192.64 plush:183.59 cube:182.86 playset:173.10 copter:169.95 heli:169.95 lipo:169.95 games:169.66 grand:164.72 doug:164.46 grandsons:164.46 puzzles:163.26 melissa:158.15 plays:156.37 yr:153.76 bought:149.70 board:145.28 transformers:144.11 plastic:143.17 dollhouse:139.97 posable:135.96 kid:133.67 granddaughters:130.52 decks:130.23 train:129.47 figure:125.96 cars:123.32 adorable:120.38 collectible:119.65 darts:119.65 wheels:118.59 sculpt:118.56 reading:116.50 wooden:111.83 doh:107.18 huggable:107.18 toddler:105.44
