<Apps_for_Android> games:2537023.22 play:2247114.61 graphics:1713235.62 kindle:1623401.37 addicting:1242819.36 addictive:1035936.04 challenging:992713.54 coins:955141.68 fire:873191.81 playing:858859.41 puzzles:685415.55 apps:581652.15 levels:524728.63 free:500988.22 download:468864.37 downloaded:401944.13 ads:391312.78 bingo:326742.10 gameplay:292273.05 flappy:278066.69 uninstalled:268092.43 facebook:244859.84 mahjong:224890.23 solitaire:208979.84 puzzle:202464.94 played:195722.99 faotd:192946.73 waster:191535.25 deleted:177755.91 bought:177045.09 android:167437.89 minecraft:151811.82 permissions:150550.72 quality:149209.65 earn:147634.16 glitches:146215.37 price:143876.05 delete:140444.85 author:135123.86 made:132579.27 challenge:132521.09 reading:132387.73 addicted:131974.39 years:129978.72 fit:125061.87 freezes:124941.46 uninstall:115769.58 unlock:115526.47 characters:111292.74 series:110420.66 downloading:109582.45 written:106710.98 multiplayer:103978.09 hints:94662.75 size:91928.58 brain:89850.40 crashes:88833.96 logos:88734.41 bored:88519.63 appstore:87729.09 awesome:87072.55 end:86585.39 sims:86515.18 developer:86220.86 put:86093.99 small:85848.15 back:85711.07 perfect:83950.14 feel:83252.21 light:82043.57 apos:78491.83 temple:73682.61 tetris:73628.04 ordered:73215.78 gameloft:71976.96	
<Health_and_Personal_Care> pills:1183270.43 razor:1134935.44 shaving:1096857.01 shaver:966157.34 protein:640722.88 vitamin:580038.41 supplement:578341.06 vitamins:573304.11 supplements:554549.16 capsules:546930.22 razors:528775.39 pill:516839.32 toothbrush:401915.22 bottle:401308.40 norelco:399014.89 shaves:390798.71 trimmer:349810.99 appetite:347827.59 taking:347540.97 gillette:338486.35 mg:321746.13 deodorant:318117.48 pain:315698.74 smell:285852.76 teeth:281445.69 results:274414.82 garcinia:272291.10 beard:270410.67 sonicare:264984.82 powder:263697.43 shavers:257119.91 dentist:255806.48 braun:255451.15 stomach:252288.59 scent:251225.62 dosage:243654.67 blades:241054.99 hairs:236304.02 energy:227761.75 products:222986.69 massager:221518.85 massage:216944.62 cambogia:212535.15 whey:209099.65 gums:204093.03 doctor:202981.73 detergent:200689.62 brush:197192.55 oil:196280.46 relief:195224.37 weight:189158.25 floss:181202.12 scale:176300.44 characters:171609.17 sinus:169241.95 swallow:166124.68 muscle:164339.00 cleaning:159784.09 works:156814.38 capsule:156138.09 author:155811.02 irritation:149910.24 batteries:149270.36 clean:148526.54 mop:144389.88 pounds:144284.29 whitening:142905.16 gel:139767.87 balm:139188.13 stubble:138504.70 diet:137513.80 weeks:135154.54 calcium:131600.35 water:130764.56 ketones:130230.42	
<Home_and_Kitche> vacuum:1379244.46 clean:1196627.41 pan:1145214.84 dishwasher:1051160.65 lid:1035154.69 pot:926657.69 oven:879637.98 mattress:877936.83 maker:849623.14 pans:809329.88 cup:765793.48 mug:660100.08 stainless:652492.85 toaster:610403.95 counter:609849.35 cooking:581279.68 sheets:572445.93 cuisinart:570298.83 pillow:555730.95 cups:530216.87 water:526066.05 comforter:522155.60 microwave:497578.41 filter:490076.32 machine:480956.99 grinder:479748.10 carafe:469231.77 blender:455916.77 cooker:423030.69 bed:420276.34 juicer:412857.45 cook:411761.08 cookware:390444.35 glass:389449.90 pillows:388142.33 knives:387546.27 stove:379698.91 heat:378957.80 cleaning:365327.80 mugs:364641.14 rack:363009.08 espresso:361817.82 bread:346554.64 kettle:344528.22 lids:342919.61 sturdy:341401.34 poster:336782.88 bowl:334566.13 pour:333887.82 suction:322121.74 steam:321178.15 brew:315513.73 dyson:292194.48 hot:290625.16 pots:287344.19 steamer:284681.45 filters:284304.16 heats:284196.32 steel:283533.20 plastic:283340.23 temperature:283279.54 mixer:281227.69 handle:281174.67 cooks:278787.64 kitchenaid:277673.48 towels:276961.59 heating:272745.55 baking:272208.91 grind:271792.62 slicer:267737.14 evenly:262071.97 carpet:257215.68 easy:251019.82 characters:245842.80 appliance:245824.02	
<Kindle_Store> author:943213.03 characters:881077.13 series:653514.32 reading:562067.41 enjoyed:493314.62 romance:470467.43 kindle:433998.40 short:383821.09 stories:340407.08 wait:335478.69 novella:326493.43 written:275808.36 sex:256068.69 loved:244247.36 character:194275.25 forward:190074.20 writing:177402.81 ending:176690.41 sexy:174880.73 bought:168250.70 plot:167995.57 quality:167821.24 steamy:158704.72 interesting:152179.97 erotic:146596.78 ebook:144530.31 price:135270.56 relationship:134563.31 paranormal:110359.36 size:109967.74 heroine:107261.39 fit:106857.06 reader:105080.81 errors:101405.22 works:98062.27 storyline:97924.69 erotica:96053.43 honest:95735.35 mystery:95407.06 twists:95026.65 end:93067.17 buy:92691.43 installment:92087.65 suspense:91523.87 music:91466.47 sweet:84288.42 wanting:84201.80 hea:81057.46 alpha:79477.97 ms:77549.30 tale:76117.99 believable:75642.95 scenes:75541.87 action:74280.91 bdsm:73570.82 ordered:72617.16 hot:71543.52 authors:70977.81 sound:70900.99 grammatical:70670.19 enjoyable:70666.34 grammar:69776.04 writer:69480.44 typos:68633.45 recipes:68190.24 editing:67083.35 beginning:66068.35 felt:65393.27 page:64172.85 paced:63902.72 purchased:63631.52 woman:63118.03 item:62876.81 twist:60831.71 heart:60468.50	
<Movies_and_TV> dvd:8361302.31 movies:5357631.33 acting:4464615.77 watch:4246668.58 films:3556737.72 actors:3506327.08 watching:3266179.81 watched:2990525.80 episodes:2169590.99 season:2046965.48 director:1945401.88 show:1874154.30 cast:1798128.70 episode:1647502.31 comedy:1603804.84 actor:1425592.02 scenes:1289573.66 seasons:1011578.86 script:1011343.90 video:1011121.83 viewer:945520.97 documentary:926463.48 flick:903521.35 scene:903403.63 funny:901876.25 blu:887484.36 dvds:886884.69 vhs:873809.08 cinematography:816993.07 performances:804649.12 filmed:772005.95 ray:768600.92 animation:733202.76 role:703063.17 viewers:701029.59 effects:697915.64 subtitles:679704.07 extras:670352.59 action:641441.93 hollywood:628251.34 footage:618736.21 tv:601248.48 actress:590695.40 classic:562664.87 horror:555737.14 special:535975.53 plot:463228.36 acted:456783.06 oscar:440337.81 anime:438862.35 roles:435372.95 production:435187.40 viewing:433975.11 cinema:425795.71 series:417753.06 performance:416339.49 animated:410186.61 rent:403209.60 shows:402975.11 plays:396085.36 cgi:393183.53 nudity:392393.09 directed:390459.81 character:375436.14 television:364352.89 drama:362350.75 theatrical:346592.52 scenery:342430.29 widescreen:326348.35 entertainment:322469.07 directing:320595.61 disc:320073.21 played:315098.60 comedies:314068.79 sequences:313312.09	
<Musical_Instrument> instrument:1007908.45 mic:864872.20 pedal:842065.44 tuner:731176.94 fender:709677.33 ukulele:635551.35 tuners:604537.32 sound:603798.03 mics:577207.95 uke:530546.15 pickups:508143.83 tuning:490922.91 behringer:483079.85 guitars:482976.39 capo:465640.61 xlr:428205.12 strat:422629.01 midi:406512.44 frets:401462.05 epiphone:363111.20 headstock:361199.43 violin:350183.99 acoustic:343127.14 addario:323006.16 microphone:313350.50 fret:304946.69 korg:298819.35 string:293844.41 yamaha:283704.27 pedals:277650.84 amp:277015.77 ibanez:276630.84 reeds:262844.29 tune:260643.42 metronome:241822.25 tone:235531.69 drum:228684.03 gig:224801.42 bass:216939.92 sounds:214119.32 hohner:203714.22 cymbal:203010.63 microphones:201874.76 rosin:197199.71 preamp:186495.64 playing:172344.42 condenser:170792.52 fretboard:164962.49 recording:162069.08 peavey:156851.06 instruments:156192.33 mixer:150476.45 dunlop:149960.22 intonation:148281.93 gigging:146608.37 capos:141685.39 cymbals:141491.32 alesis:139235.62 reverb:135535.71 karaoke:132906.15 humbucker:132246.58 play:131893.83 tascam:130130.66 pickguard:129628.58 snare:126304.21 mouthpiece:123187.47 piano:123066.48 gigs:120946.80 pickup:120155.35 ukes:120061.32 takamine:119685.79 ableton:119635.35 daw:119415.62 mxr:119321.51 truss:118687.33	
<Office_Product> cartridges:4912718.44 cartridge:3793837.99 printing:2311395.80 printers:1787011.87 epson:1709037.14 toner:1668788.23 scanner:1656026.93 hp:1519723.80 print:1471219.68 pens:1333711.22 paper:1221085.93 prints:1014298.57 pen:823800.08 scanning:818279.32 fax:810180.24 scan:732278.87 handset:630479.77 shredder:601637.36 inkjet:598474.18 inks:552502.51 handsets:539032.21 pencils:536312.57 lexmark:482253.82 scans:473835.80 desk:459492.13 office:449705.55 pencil:440523.65 copier:438500.58 printed:420188.59 envelopes:418427.09 laser:347546.09 canon:338879.24 labels:323604.99 pixma:314518.53 caller:307926.69 remanufactured:293788.21 stapler:289382.81 calculator:277411.80 duplex:273446.50 documents:268072.03 staples:257942.52 refills:246528.79 laminator:234964.14 binder:233750.25 scanned:218879.76 mfc:216166.56 ooma:214564.37 papers:208407.21 refill:190436.16 eraser:185333.34 cyan:181119.16 nib:177208.03 toners:175505.08 scanners:173944.05 uniden:171086.11 faxing:168350.79 wireless:164007.98 calendar:155608.04 faxes:155329.92 laminating:155224.10 laserjet:155112.83 photosmart:154468.35 cordless:154264.61 officejet:153990.48 document:151189.63 answering:149092.05 erase:147349.23 software:144694.07 phones:140342.17 dect:136213.59 printhead:135493.65 sharpener:135361.82 planner:133435.91 refilled:133271.65 sheets:132830.14	
<Patio_Lawn_and_Garde> plants:1265791.19 lawn:1049316.40 feeder:948783.80 yard:938069.62 hose:840525.69 pool:789269.55 seeds:775348.70 garden:693570.17 patio:606918.10 plant:597612.17 weber:586555.06 grass:584378.37 soil:549075.34 squirrels:524432.54 blower:524087.91 gas:514741.27 feeders:459169.37 planted:442227.14 trimmer:437818.68 weeds:427766.14 traps:413617.75 seed:393996.72 sprinkler:386274.61 smoker:374553.67 trap:359861.00 watering:346501.02 birds:298409.22 weed:270229.09 grills:255234.04 mow:253558.26 grilling:251435.97 mulch:251195.48 germinated:250678.60 germination:242997.04 propane:234992.27 shovel:233250.71 edger:231290.46 seedlings:227248.07 mowers:225361.02 hoses:221556.78 deck:221346.23 mulching:221204.03 mowing:218557.52 bbq:215717.80 planter:215081.92 charcoal:212979.30 sprouted:208564.51 fiskars:206071.71 toro:203872.75 intex:202851.17 hummingbirds:202496.16 fertilizer:199842.06 poulan:195877.12 germinate:178233.31 water:174271.25 acre:173685.52 husqvarna:168797.04 generator:168310.68 trees:163871.31 bait:163320.73 planting:163225.85 zapper:162548.23 branches:162210.27 tiller:161328.55 driveway:159722.99 potting:158960.69 sprayer:157928.44 ants:154795.13 mice:150929.19 hummingbird:147966.26 hammock:145448.74 roaches:143973.48 nozzle:142310.23 sprinklers:137662.10 grates:135622.23	
<Pet_Supplie> cats:4742502.43 cat:4414577.68 litter:2317100.78 pet:1865693.28 vet:1747488.34 puppy:1573293.69 collar:1550469.72 treats:1246531.18 leash:1159020.08 chew:972143.19 fleas:842041.31 crate:784504.35 lb:774992.05 food:765782.98 pup:698204.83 terrier:657585.39 lab:646718.11 chewer:646589.12 collars:616675.40 chihuahua:559036.30 yorkie:536465.09 barking:511327.52 chews:499118.90 paws:474819.76 catnip:450516.49 chewing:449618.09 kitty:442452.14 kitties:420896.58 toys:419883.67 kibble:418209.34 cage:414743.22 petsmart:387490.06 squeaker:385796.91 kitten:380935.17 flea:378254.37 fur:372606.67 petco:369611.88 tank:366816.69 aquarium:359780.60 chewed:347538.48 poodle:339501.65 retriever:333942.91 harness:323603.08 shih:318224.31 bark:313688.04 urine:301244.95 loves:299578.86 shepherd:299194.71 chewers:293184.81 kittens:285856.20 pets:281041.82 pound:264601.33 bowl:262130.54 kennel:261045.62 squeakers:244618.62 paw:243534.71 poop:240955.35 frontline:240797.73 gallon:235912.26 eat:228867.54 beagle:228652.55 maltese:227714.03 furminator:223978.68 doggie:223224.16 dachshund:222739.32 fountain:221762.03 pups:221060.40 collie:208277.50 leashes:201993.34 spaniel:197078.41 schnauzer:195193.21 tzu:193259.11 drinkwell:192653.13 treat:191477.66 greenies:188727.11	
<Sports_and_Outdoor> gun:703854.45 rifle:611823.88 bikes:465753.88 camping:455509.50 pistol:428006.59 holster:402421.16 sheath:354395.68 tent:336886.82 scope:322348.53 fit:310780.64 airsoft:304677.35 ar:293465.79 bag:277622.73 blade:268053.51 glock:247919.32 gloves:242483.60 riding:241241.39 comfortable:236682.39 ruger:229701.43 ammo:228680.75 grip:224482.46 helmet:215120.09 workout:207611.56 weight:205617.35 gear:192693.71 rounds:190858.11 characters:187979.23 straps:185223.98 mag:183895.34 knives:181495.04 bicycle:176998.22 reading:173090.52 author:172130.52 carry:170568.03 size:168394.38 mat:168325.25 ball:166280.50 yards:165254.98 barrel:164692.58 mags:160877.54 gym:158392.22 schwinn:155288.27 fits:151667.53 goggles:151634.68 bbs:150003.22 golf:149367.62 rail:148819.10 strap:148178.07 shorts:147953.46 shirt:144186.11 tires:141356.66 sharp:141073.32 rides:140043.36 edc:139462.66 pedals:138937.47 backpacking:138356.32 series:136770.41 kayak:135902.15 belt:135898.44 recoil:134692.60 weights:132390.22 scooter:130959.25 written:130570.50 quality:130567.58 sturdy:130478.90 water:130232.79 lbs:128186.50 camelbak:127530.98 socks:127394.57 shimano:125903.68 fishing:124968.52 handlebars:124682.81 ride:123921.14 molle:122568.48 rack:122553.88	
<Tools_and_Home_Improvement> flashlight:1118809.54 bulb:1110669.16 drill:1000073.87 tool:937203.39 light:932801.13 dewalt:910935.67 faucet:841820.32 lights:795524.25 fixture:542980.23 bright:533075.60 tools:515902.36 flashlights:434799.17 makita:429035.20 lamps:410680.39 installed:369528.72 incandescent:362619.20 garage:356691.58 fixtures:331419.47 batteries:315263.50 lumens:304859.94 dimmer:297813.77 ceiling:289117.44 beam:286806.08 sander:284341.70 depot:283717.74 miter:282158.57 nailer:277058.72 screws:276880.24 cfl:272133.92 blade:269102.66 wall:263990.03 switch:261167.58 door:253657.16 bathroom:243547.69 lighting:234892.98 led:222060.52 sanding:216637.10 screw:214637.26 saws:212926.97 plumber:205064.32 bosch:203281.55 thermostat:201510.86 halogen:192336.55 torque:191976.85 milwaukee:191802.62 installation:191751.52 faucets:190423.28 leatherman:188372.60 sink:187784.32 lowes:182494.58 showerhead:182363.58 wood:182267.52 maglite:178052.87 pliers:173811.30 screwdriver:173788.55 dremel:173711.08 wrench:171148.11 watt:169827.84 toilet:167125.25 electrician:160524.18 lumen:160244.43 bidet:157447.75 brighter:156915.28 contractor:153967.16 moen:153359.56 strobe:151560.05 hose:151509.64 shower:148992.63 replace:147028.85 compressor:144348.66 brightness:143493.58 drywall:143020.13 blades:141987.18 streamlight:141600.17 drilling:141160.05	
<Toys_and_Game> toys:1552724.65 loves:1413380.80 son:1018303.45 grandson:1010565.70 lego:927242.05 play:885224.24 birthday:870194.34 dolls:814025.12 kids:805768.18 christmas:791096.11 daughter:768569.94 year:680680.24 granddaughter:516063.82 pieces:464629.55 playing:451828.17 legos:431332.69 puzzle:403380.88 barbie:358719.50 gift:349056.22 cute:332598.10 yr:326969.97 nephew:311217.26 cards:299910.75 figures:294216.66 helicopter:284316.77 durable:272455.07 plush:255463.47 rc:236975.19 child:209962.91 educational:207742.75 heli:206418.46 cuddly:206270.17 niece:205923.13 played:201388.04 nerf:195242.41 articulation:188872.22 stuffed:186934.24 hasbro:177944.17 cars:166878.73 mattel:162817.09 doug:156905.66 games:154516.65 leapfrog:152619.03 puzzles:149628.38 syma:146396.47 dice:146058.14 webkinz:145881.59 playset:141045.61 party:139005.42 ravensburger:138569.70 barbies:137531.61 kid:131333.98 plays:130997.03 copter:130581.86 melissa:128699.97 bought:127351.66 board:124389.19 leapster:122654.08 paint:119574.50 leappad:117917.85 figure:116982.71 adorable:116664.85 author:116481.94 dollhouse:115887.35 toddler:115403.76 reading:115143.99 box:115060.01 stickers:114951.93 expansions:106046.89 plastic:105005.58 figurines:103413.80 playmobil:103049.81 wheels:100285.20 sculpt:95592.31 grandsons:95588.35	
